Year,Grade,Gender,GrGen,Public Speaking,The Dark,Animals,The Supernatural,Caregivers,Storms and Natural Disasters,Punishment and Discipline,Rejection and/or Failure,Heights,Disappointment,Anger,More Mature?,,,,,,,,
4,5,M,5M,0,0,1,0,0,1,0,0,0,0,0,Yes,,,,,,,,
4,5,F,5F,1,1,2,0,2,0,1,3,1,1,2,Yes,,,,,,,,
4,5,M,5M,1,1,1,1,0,2,2,2,0,2,1,No,,,,,,,,
4,5,F,5F,1,2,1,0,1,1,2,2,2,2,1,Yes,,,,,,,,
4,5,F,5F,3,0,1,1,2,0,3,3,0,2,1,Yes,,,,,,,,
4,5,M,5M,1,1,1,0,0,0,3,1,1,1,2,Yes,,,,,,,,
4,5,M,5M,1,0,1,2,0,0,2,0,0,0,0,No ,,,,,,,,
4,5,F,5F,2,1,0,1,0,0,0,2,0,2,0,Yes,,,,,,,,
4,5,F,5F,2,0,0,1,0,0,1,1,1,1,1,Yes,,,,,,,,
4,5,M,5M,1,1,0,0,0,0,1,0,0,1,1,No,,,,,,,,
4,5,M,5M,0,1,0,0,0,1,0,1,1,0,0,No,,,,,,,,
4,5,F,5F,2,0,1,1,2,1,2,1,1,1,1,Yes,,,,,,,,
4,5,F,5F,1,1,0,0,0,0,1,2,2,3,0,Yes,,,,,,,,
4,5,F,5F,2,2,0,2,0,1,0,1,2,3,1,No,,,,,,,,
4,5,F,5F,2,0,0,1,1,0,3,3,0,3,1,Yes,,,,,,,,
4,5,F,5F,2,1,1,0,1,1,1,2,0,1,1,Yes,,,,,,,,
4,5,M,5M,1,1,1,0,1,0,3,2,0,1,1,No,,,,,,,,
4,5,M,5M,1,0,3,0,0,0,2,2,0,0,1,Yes,,,,,,,,
4,5,F,5F,2,1,1,0,0,0,2,0,2,0,1,Yes,,,,,,,,
4,5,M,5M,0,0,2,1,1,1,0,0,1,0,1,Yes,,,,,,,,
4,5,M,5M,1,0,1,0,1,1,2,2,0,1,1,Yes,,,,,,,,
4,5,M,5M,1,0,0,0,0,0,0,0,0,0,1,Yes,,,,,,,,
4,5,M,5M,0,0,0,1,1,0,1,1,0,0,1,Yes,,,,,,,,
4,5,F,5F,2,1,1,0,1,1,1,0,3,0,0,Yes,,,,,,,,
4,5,M,5M,1,1,0,2,0,0,0,2,3,0,2,Yes,,,,,,,,
4,5,M,5M,1,0,3,0,0,1,2,2,3,0,1,No,,,,,,,,
4,5,F,5F,2,1,1,1,0,0,1,2,2,1,1,Yes,,,,,,,,
4,5,M,5M,2,3,3,2,0,1,1,2,3,1,2,Yes,,,,,,,,
4,5,M,5M,0,0,1,1,2,2,0,0,1,0,3,Yes,,,,,,,,
4,5,M,5M,0,3,0,3,0,2,1,0,0,0,0,,,,,,,,,
4,5,M,5M,2,0,1,0,0,1,1,1,1,2,1,Yes,,,,,,,,
4,5,F,5F,1,2,,0,1,1,3,3,0,3,3,Yes,,,,,,,,
4,5,M,5M,0,2,1,2,0,1,0,1,1,0,1,Yes,,,,,,,,
4,5,M,5M,1,0,1,0,1,0,1,2,2,0,2,Yes,,,,,,,,
4,5,M,5M,3,3,2,2,0,2,0,2,3,1,1,No,,,,,,,,
4,5,M,5M,2,2,1,3,3,0,1,1,3,0,1,No,,,,,,,,
4,5,M,5M,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,,,,
4,5,M,5M,1,0,0,1,0,0,2,0,0,1,1,No,,,,,,,,
4,5,F,5F,1,0,1,1,2,2,3,2,1,1,2,Yes,,,,,,,,
4,5,F,5F,2,1,2,2,1,1,0,0,2,0,0,Yes,,,,,,,,
4,5,M,5M,0,1,1,1,0,0,0,0,0,0,0,Yes,,,,,,,,
4,5,F,5F,1,2,1,0,0,1,0,0,1,0,1,Yes,,,,,,,,
4,5,F,5F,3,2,2,2,1,2,1,1,1,1,1,Yes,,,,,,,,
4,5,M,5M,3,1,2,1,1,3,1,3,3,1,1,No,,,,,,,,
4,5,F,5F,1,1,1,0,0,0,0,0,0,0,0,Yes,,,,,,,,
4,7,M,7M,2,1,1,1,1,1,1,3,0,1,1,Yes,,,,,,,,
4,7,M,7M,2,3,0,0,0,0,3,1,1,3,3,No,,,,,,,,
4,7,M,7M,0,1,0,1,0,0,2,3,0,2,1,No,,,,,,,,
4,7,F,7F,0,2,0,2,0,0,1,3,0,1,1,No,,,,,,,,
4,7,F,7F,1,1,1,0,0,1,1,3,0,2,2,No,,,,,,,,
4,7,F,7F,3,2,1,1,3,1,2,3,2,3,3,Yes,,,,,,,,
4,7,M,7M,0,1,0,0,0,0,0,1,0,0,1,No,,,,,,,,
4,7,M,7M,0,2,0,1,0,0,1,1,3,0,2,No,,,,,,,,
4,7,M,7M,3,1,1,0,1,3,2,3,2,2,1,No,,,,,,,,
4,7,F,7F,1,3,0,0,0,3,2,1,0,1,2,Yes,,,,,,,,
4,7,M,7M,1,0,0,0,1,0,0,0,1,0,0,No,,,,,,,,
4,7,M,7M,1,1,1,1,0,3,2,3,1,3,2,No,,,,,,,,
4,9,M,9M ,2,0,1,1,1,1,1,2,0,3,1,No,,,,,,,,
4,9,F,9F,3,1,1,1,0,2,2,2,3,2,1,Yes,,,,,,,,
4,9,M,9M,2,0,2,0,0,1,1,2,0,2,1,No,,,,,,,,
4,9,F,9F,1,1,0,0,0,1,0,1,1,0,0,Yes,,,,,,,,
4,9,M,9M,1,1,2,0,0,0,0,1,2,0,0,No,,,,,,,,
4,9,M,9M,1,0,0,,0,2,0,1,0,1,0,No,,,,,,,,
4,9,M,9M,2,2,0,0,0,0,3,3,1,3,0,,,,,,,,,
4,9,M,9M,0,1,0,2,1,0,0,3,2,2,,No,,,,,,,,
4,9,M,9M,2,0,0,0,1,1,0,1,2,1,1,No,,,,,,,,
4,9,F,9F,1,0,0,0,0,0,1,2,0,1,0,Yes,,,,,,,,
4,9,F,9F,3,0,1,1,0,0,0,3,0,2,0,Yes,,,,,,,,
4,9,M,9M,1,0,1,1,0,2,2,3,0,2,1,No,,,,,,,,
4,9,M,9M,2,1,1,0,1,1,2,2,1,1,1,No,,,,,,,,
4,9,M,9M,3,1,2,0,0,0,2,2,1,2,3,No,,,,,,,,
4,9,M,9M,2,0,1,0,0,0,1,2,2,2,1,Yes,,,,,,,,
4,9,M,9M,1,0,0,0,0,0,0,2,1,2,1,Yes,,,,,,,,
4,9,M,9M,1,0,0,0,0,0,0,2,1,2,1,Yes,,,,,,,,
4,9,F,9F,1,1,1,1,0,1,2,2,3,2,2,Yes,,,,,,,,
4,9,M,9M,1,0,1,0,0,0,2,2,1,1,1,Yes,,,,,,,,
3,8,M,8M,1,2,0,1,0,0,1,3,0,2,0,No,,,,,,,,
3,8,M,8M,1,0,1,0,0,2,2,0,2,0,0,No,,,,,,,,
3,8,M,8M,2,1,1,1,0,0,1,2,3,0,1,No,,,,,,,,
3,8,F,8F,1,2,1,1,0,0,1,3,0,2,1,Yes,,,,,,,,
3,8,F,8F,2,3,1,0,1,2,3,3,3,3,3,Yes,,,,,,,,
3,8,M,8M,1,2,0,0,0,0,2,3,0,3,0,Yes,,,,,,,,
3,8,F,8F,3,1,0,1,0,0,1,3,2,3,1,Yes,,,,,,,,
3,8,F,8F,3,1,0,1,0,0,1,3,2,3,1,Yes,,,,,,,,
3,8,M,8M,3,2,1,1,0,0,1,0,2,1,1,No,,,,,,,,
3,8,F,8F,2,1,1,1,0,1,1,2,0,1,1,No,,,,,,,,
3,8,F,8F,2,1,0,0,0,0,1,2,1,2,2,Yes,,,,,,,,
3,8,M,8M,2,2,1,1,0,0,2,3,1,3,3,No,,,,,,,,
3,8,M,8M,1,2,0,2,0,1,1,1,1,0,2,Yes,,,,,,,,
3,8,M,8M,3,1,1,1,0,1,2,3,1,2,2,No,,,,,,,,
3,6,F,6F,1,2,0,0,0,0,0,2,0,1,0,Yes,,,,,,,,
3,6,F,6F,2,1,0,0,1,2,3,3,0,3,1,,,,,,,,,
3,6,M,6M,3,0,1,1,0,2,3,3,2,3,3,No,,,,,,,,
3,6,F,6F,1,1,1,0,0,1,1,1,0,0,0,No,,,,,,,,
3,6,F,6F,2,0,0,0,0,1,0,0,1,0,0,No,,,,,,,,
3,6,F,6F,3,0,1,1,0,1,0,1,0,1,0,Yes,,,,,,,,
3,6,M,6M,2,0,1,0,0,0,,1,0,1,0,No,,,,,,,,
3,6,F,6F,1,3,1,0,0,0,0,0,2,0,1,Yes,,,,,,,,
3,6,F,6F,0,1,1,1,0,1,1,1,0,1,1,Yes,,,,,,,,
3,6,F,6F,2,1,0,0,2,0,3,2,1,2,0,Yes,,,,,,,,
3,6,M,6M,1,0,0,1,0,0,1,1,0,0,1,Yes,,,,,,,,
3,6,F,6F,3,1,0,2,3,0,3,3,3,3,3,,,,,,,,,
3,6,F,6F,1,0,1,0,2,0,2,3,2,3,3,Yes,,,,,,,,
3,6,M,6M,1,1,0,2,1,0,0,0,3,0,0,No,,,,,,,,
3,6,M,6M,1,1,1,0,1,0,,0,1,0,1,No,,,,,,,,
3,6,M,6M,1,2,0,0,2,0,3,2,3,3,1,Yes,,,,,,,,
3,6,F,6F,1,0,1,0,0,0,1,2,0,1,1,Yes,,,,,,,,
3,6,M,6M,1,2,1,0,0,0,0,1,1,0,0,No,,,,,,,,
3,6,F,6F,3,0,3,0,0,2,1,3,3,1,2,Yes,,,,,,,,
3,6,M,6M,2,0,0,0,0,2,1,1,2,0,0,No,,,,,,,,
3,6,F,6F,2,3,1,3,0,2,3,3,2,1,0,Yes,,,,,,,,
3,6,M,6M,1,1,2,0,0,2,1,2,0,2,2,No,,,,,,,,
3,6,F,6F,3,3,3,1,0,1,0,1,3,1,1,Yes,,,,,,,,
3,6,M,6M,2,1,2,0,0,1,0,2,3,1,2,No,,,,,,,,
3,6,F,6F,3,1,0,2,2,1,0,1,3,1,1,Yes,,,,,,,,
3,6,F,6F,2,1,3,3,0,2,3,3,3,0,3,Yes,,,,,,,,
3,6,F,6F,2,1,1,1,0,1,3,3,1,3,1,Yes,,,,,,,,
3,6,F,6F,3,2,0,0,0,1,2,3,1,1,2,Yes,,,,,,,,
3,6,M,6M,1,2,0,2,0,3,3,3,0,1,1,Yes,,,,,,,,
3,6,F,6F,2,1,0,0,2,1,3,2,0,2,2,Yes,,,,,,,,
3,6,F,6F,1,2,1,2,0,0,0,2,3,2,0,Yes,,,,,,,,
3,6,M,6M,0,1,2,0,0,1,1,0,0,1,0,Yes,,,,,,,,
3,6,M,6M,1,2,0,0,0,0,0,1,0,0,0,No,,,,,,,,
3,4,F,4F,3,2,0,2,1,0,1,2,3,1,0,No,,,,,,,,
3,4,M,4M,0,1,0,0,0,0,1,3,3,3,0,Yes,,,,,,,,
3,4,F,4F,1,1,1,0,0,0,1,3,2,2,0,Yes,,,,,,,,
3,4,M,4M,0,2,3,0,3,1,2,1,0,1,2,No,,,,,,,,
3,4,M,4M,0,0,1,0,1,,1,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,2,2,1,0,1,2,1,0,1,0,0,Yes,,,,,,,,
3,4,F,4F,1,1,0,0,1,2,3,3,0,1,2,Yes,,,,,,,,
3,4,F,4F,1,2,1,2,1,0,0,2,0,0,0,Yes,,,,,,,,
3,4,M,4M,0,1,0,0,0,0,0,0,1,0,1,No,,,,,,,,
3,4,M,4M,1,1,1,2,0,2,2,1,3,1,1,No,,,,,,,,
3,4,M,4M,2,3,1,3,2,1,1,0,3,0,3,Yes,,,,,,,,
3,4,M,4M,1,0,1,0,0,1,0,0,0,0,1,No,,,,,,,,
3,4,F,4F,2,1,0,3,3,0,2,3,0,0,1,No,,,,,,,,
3,4,M,4M,3,0,0,1,1,1,1,3,0,3,3,No,,,,,,,,
3,4,F,4F,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,1,1,1,0,0,0,No,,,,,,,,
3,4,M,4M,1,0,1,0,0,0,0,0,0,0,0,No,,,,,,,,
3,4,F,4F,1,0,0,0,0,0,1,2,0,1,1,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,2,3,2,0,1,2,Yes,,,,,,,,
3,4,M,4M,1,2,1,3,2,0,0,1,3,0,2,Yes,,,,,,,,
3,4,M,4M,1,0,0,0,2,0,1,2,0,1,2,Yes,,,,,,,,
3,4,F,4F,1,1,0,0,1,1,0,0,3,0,0,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,0,2,0,2,0,1,Yes,,,,,,,,
3,4,M,4M,0,1,1,1,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,M,4M,2,2,1,0,1,2,3,1,2,2,3,No,,,,,,,,
3,4,M,4M,0,0,1,0,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,2,1,1,1,3,1,3,3,0,3,1,Yes,,,,,,,,
3,4,F,4F,2,1,0,1,2,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,1,2,1,2,1,1,0,0,2,0,0,Yes,,,,,,,,
3,4,M,4M,0,3,0,1,0,3,1,0,2,0,0,No,,,,,,,,
3,4,M,4M,2,0,3,1,1,3,2,1,3,0,0,Yes,,,,,,,,
3,4,M,4M,1,0,0,0,1,1,0,2,3,0,0,No,,,,,,,,
3,4,M,4M,1,2,0,3,1,1,3,1,1,0,0,No,,,,,,,,
3,4,M,4M,3,2,3,1,1,3,1,1,2,1,2,Yes,,,,,,,,
3,4,M,4M,2,2,1,2,1,2,3,3,3,2,3,No,,,,,,,,
3,4,F,4F,1,1,1,2,1,2,1,3,2,2,3,Yes,,,,,,,,
3,4,F,4F,1,1,1,1,1,2,2,2,1,1,2,No,,,,,,,,
3,4,M,4M,2,3,1,3,0,2,2,2,3,1,1,Yes,,,,,,,,
3,4,F,4F,1,1,1,2,2,0,2,1,0,2,3,Yes,,,,,,,,
3,4,M,4M,0,1,2,2,1,1,0,0,2,0,0,Yes,,,,,,,,
3,4,M,4M,1,0,0,2,1,0,0,0,1,2,0,Yes,,,,,,,,
3,4,M,4M,1,0,0,1,1,0,0,0,0,0,0,Yes,,,,,,,,
3,4,M,4M,1,3,0,1,0,1,2,2,1,0,1,Yes,,,,,,,,
3,4,M,4M,1,0,2,0,0,0,3,1,0,1,0,Yes,,,,,,,,
2,3,F,3F,1,1,3,0,0,0,3,1,1,0,2,Yes,,,,,,,,
2,3,F,3F,1,2,3,2,1,1,3,2,2,3,1,Yes,,,,,,,,
2,3,F,3F,1,1,2,0,1,0,2,1,1,2,2,Yes,,,,,,,,
2,3,F,3F,1,0,1,2,0,2,1,2,0,3,0,Yes,,,,,,,,
2,3,F,3F,3,1,3,2,2,0,3,3,0,3,3,Yes,,,,,,,,
2,3,F,3F,1,1,1,0,0,1,1,0,0,0,0,Yes,,,,,,,,
2,3,F,3F,1,3,2,0,0,0,1,2,0,2,0,Yes,,,,,,,,
2,3,F,3F,0,1,1,3,0,2,1,2,0,3,1,Yes,,,,,,,,
2,3,F,3F,1,1,2,2,0,0,0,1,1,0,0,,,,,,,,,
2,3,F,3F,1,0,1,0,0,1,3,3,2,2,2,Yes,,,,,,,,
2,3,F,3F,1,1,0,2,0,0,2,3,3,2,1,No,,,,,,,,
2,3,F,3F,1,2,0,0,0,1,0,0,0,0,0,Yes,,,,,,,,
2,3,F,3F,1,0,3,1,0,3,1,2,2,3,2,Yes,,,,,,,,
2,3,M,3M,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2,3,M,3M,1,2,0,2,0,2,0,0,3,0,0,No,,,,,,,,
2,3,M,3M,1,1,1,0,1,1,3,3,2,1,1,Yes,,,,,,,,
2,3,M,3M,0,0,1,1,0,0,0,0,0,0,0,Yes,,,,,,,,
2,3,M,3M,1,0,0,1,0,2,1,0,1,2,2,No,,,,,,,,
2,3,M,3M,2,2,1,0,1,1,3,0,1,1,2,Yes,,,,,,,,
2,3,M,3M,3,0,1,0,0,1,3,2,3,2,3,Yes,,,,,,,,
2,3,M,3M,0,0,0,0,0,0,1,0,0,0,0,No,,,,,,,,
2,3,M,3M,2,1,3,1,1,2,2,1,1,0,2,No,,,,,,,,
2,3,M,3M,2,1,3,3,0,0,1,0,3,3,0,No,,,,,,,,
2,3,M,3M,0,0,0,0,0,0,1,0,0,0,0,No,,,,,,,,
2,3,M,3M,2,1,1,0,0,1,1,0,3,2,1,No,,,,,,,,
2,3,M,3M,2,2,1,0,0,1,2,3,3,1,0,No,,,,,,,,
2,3,M,3M,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,,,,
2,3,M,3M,1,2,3,2,1,3,2,2,1,3,1,No,,,,,,,,
2,3,M,3M,1,1,0,0,0,0,1,0,1,1,0,Yes,,,,,,,,
2,3,M,3M,2,0,2,0,0,1,2,3,1,1,1,No,,,,,,,,
2,3,M,3M,1,0,0,0,0,0,3,0,0,3,0,No,,,,,,,,
2,3,M,3M,1,0,0,0,0,0,2,1,0,1,1,No,,,,,,,,
2,5,F,5F,0,0,1,0,0,0,0,1,0,0,0,Yes,,,,,,,,
2,5,F,5F,2,0,3,1,1,0,3,0,0,0,0,Yes,,,,,,,,
2,5,F,5F,2,0,1,0,0,1,1,0,0,0,1,Yes,,,,,,,,
2,5,F,5F,2,1,1,,1,1,1,2,0,2,2,Yes,,,,,,,,
2,5,F,5F,3,1,1,1,1,0,1,1,1,1,0,Yes,,,,,,,,
2,5,F,5F,2,1,1,0,1,1,1,0,0,0,0,Yes,,,,,,,,
2,5,F,5F,3,3,2,2,1,1,1,1,1,1,1,Yes,,,,,,,,
2,5,F,5F,0,1,2,1,1,0,2,1,1,1,1,Yes,,,,,,,,
2,5,F,5F,3,1,1,1,0,1,1,2,0,2,1,Yes,,,,,,,,
2,5,F,5F,1,0,0,0,0,0,1,2,1,0,0,Yes,,,,,,,,
2,5,F,5F,0,1,1,0,0,2,1,0,2,3,2,Yes,,,,,,,,
2,5,F,5F,2,1,3,1,0,0,1,1,0,1,2,Yes,,,,,,,,
2,5,F,5F,1,1,0,0,0,0,3,3,1,2,1,Yes,,,,,,,,
2,5,F,5F,,,2,0,1,1,1,1,0,1,1,Yes,,,,,,,,
2,5,F,5F,1,1,1,0,0,0,1,2,0,1,1,No,,,,,,,,
2,5,F,5F,1,1,1,1,0,1,0,1,0,3,0,No,,,,,,,,
2,5,F,5F,1,1,3,0,0,0,1,1,1,1,0,Yes,,,,,,,,
2,5,F,5F,3,2,3,2,0,2,1,2,3,2,1,Yes,,,,,,,,
2,5,F,5F,2,1,3,0,0,1,1,2,1,1,1,Yes,,,,,,,,
2,5,F,5F,2,3,2,3,1,1,2,3,3,3,2,No,,,,,,,,
2,5,F,5F,1,0,0,0,0,1,0,1,0,1,1,Yes,,,,,,,,
2,5,F,5F,1,0,3,0,0,1,2,3,3,3,1,No,,,,,,,,
2,5,M,5M,2,1,1,1,2,0,2,1,2,1,1,No,,,,,,,,
2,5,M,5M,2,2,2,1,3,2,2,2,2,1,2,No,,,,,,,,
2,5,M,5M,2,2,2,0,0,0,1,2,0,3,1,Yes,,,,,,,,
2,5,M,5M,1,0,1,0,0,0,2,3,0,2,0,No,,,,,,,,
2,5,M,5M,1,1,0,1,0,0,1,3,3,0,0,Yes,,,,,,,,
2,5,M,5M,1,2,2,3,0,0,3,2,2,3,1,Yes,,,,,,,,
2,5,M,5M,0,0,1,2,1,0,3,3,1,3,2,No,,,,,,,,
2,5,M,5M,1,0,0,0,0,0,1,1,0,0,0,Yes,,,,,,,,
2,5,M,5M,3,1,0,0,0,2,0,2,2,3,0,No,,,,,,,,
2,5,M,5M,,1,0,1,0,0,2,0,0,2,0,No,,,,,,,,
2,5,M,5M,2,1,1,0,0,3,2,3,2,3,0,No,,,,,,,,
2,5,M,5M,0,2,0,0,0,0,2,2,0,3,3,Yes,,,,,,,,
2,5,M,5M,2,3,1,0,1,3,2,3,3,1,2,No,,,,,,,,
2,5,M,5M,1,1,1,0,0,2,1,2,0,2,1,Yes,,,,,,,,
2,7,F,7F,1,1,2,2,1,1,0,0,1,1,0,Yes,,,,,,,,
2,7,F,7F,1,2,0,1,0,1,1,1,3,1,1,Yes,,,,,,,,
2,7,F,7F,2,1,2,1,2,0,1,2,3,3,1,Yes,,,,,,,,
2,7,F,7F,1,2,3,3,0,1,3,0,0,2,3,Yes,,,,,,,,
2,7,F,7F,3,1,0,1,0,1,1,1,3,2,2,Yes,,,,,,,,
2,7,F,7F,1,1,3,2,2,0,1,2,1,2,2,No,,,,,,,,
2,7,F,7F,3,2,2,2,1,1,3,3,2,2,2,Yes,,,,,,,,
2,7,F,7F,2,1,1,0,0,0,1,1,1,0,1,Yes,,,,,,,,
2,7,F,7F,1,2,2,3,1,0,0,0,2,2,1,No,,,,,,,,
2,7,M,7M,1,1,1,3,0,0,2,1,2,2,2,No,,,,,,,,
2,7,M,7M,2,1,1,2,0,2,0,0,3,0,1,Yes,,,,,,,,
2,7,M,7M,1,2,3,2,0,2,0,1,2,2,2,No,,,,,,,,
2,7,M,7M,1,0,1,1,0,0,0,3,1,1,1,,,,,,,,,
2,7,M,7M,0,0,0,0,0,0,1,0,0,2,0,No,,,,,,,,
2,7,M,7M,1,0,0,0,0,1,3,1,1,2,2,,,,,,,,,
2,7,M,7M,2,1,1,1,0,1,2,2,1,3,2,No,,,,,,,,
2,7,M,7M,2,3,3,2,0,1,3,3,1,3,3,No,,,,,,,,
2,7,M,7M,2,1,1,2,1,2,1,1,3,1,1,No,,,,,,,,
2,7,M,7M,2,2,2,1,0,1,2,0,3,2,3,No,,,,,,,,
2,7,M,7M,2,2,3,1,0,0,3,3,2,3,1,No,,,,,,,,
2,7,M,7M,2,1,0,1,0,0,1,0,1,1,2,No,,,,,,,,
2,7,M,7M,0,1,2,0,0,1,1,2,0,1,1,No,,,,,,,,
2,7,M,7M,1,2,3,1,1,0,0,2,0,1,1,Yes,,,,,,,,
2,7,M,7M,2,0,2,0,0,2,3,2,3,2,1,No,,,,,,,,
2,7,M,7M,1,2,2,1,1,0,1,3,1,3,2,No,,,,,,,,
2,7,M,7M,0,1,1,0,0,2,3,1,3,1,2,Yes,,,,,,,,
2,7,M,7M,1,0,0,0,0,1,2,1,0,2,2,Yes,,,,,,,,
1,2,M,2M,0,2,0,0,0,3,0,0,0,0,0,,,,,,,,,
1,2,F,2F,1,0,3,0,1,1,3,0,1,0,2,,,,,,,,,
1,2,F,2F,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1,2,F,2F,1,1,3,0,2,0,0,0,2,0,1,,,,,,,,,
1,2,M,2M,3,3,3,3,2,1,3,1,3,1,3,,,,,,,,,
1,2,M,2M,1,0,2,1,0,0,1,0,3,1,0,,,,,,,,,
1,2,M,2M,1,0,3,1,1,0,3,0,2,1,2,,,,,,,,,
1,2,F,2F,2,3,3,3,3,0,3,2,1,3,1,,,,,,,,,
1,2,F,2F,3,1,3,3,3,3,3,3,3,3,3,,,,,,,,,
1,2,M,2M,,,0,0,0,1,1,0,1,0,0,,,,,,,,,
1,2,M,2M,,,2,3,1,1,0,0,3,1,1,,,,,,,,,
1,2,M,2M,,,2,1,0,0,0,0,0,0,0,,,,,,,,,
1,2,F,2F,,,1,2,0,2,2,3,3,0,1,,,,,,,,,
1,2,F,2F,,,1,1,0,0,1,0,1,0,0,,,,,,,,,
1,2,F,2F,,,3,0,0,1,1,0,3,1,1,,,,,,,,,
1,2,M,2M,,,0,0,1,0,2,0,0,0,1,,,,,,,,,
1,2,M,2M,,2,1,1,1,2,2,0,2,1,1,,,,,,,,,
1,2,M,2M,,,2,0,1,3,0,0,0,0,1,,,,,,,,,
1,2,M,2M,2,1,3,2,0,1,2,0,2,0,2,,,,,,,,,
1,2,M,2M,1,0,1,0,0,0,0,0,1,1,0,,,,,,,,,
1,2,F,2F,1,2,3,1,1,1,1,1,2,1,1,,,,,,,,,
1,2,F,2F,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,
1,2,F,2F,3,3,3,3,0,1,1,2,3,3,3,,,,,,,,,
1,2,M,2M,0,0,0,0,0,0,0,0,0,3,1,,,,,,,,,
1,2,M,2M,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,2,M,2M,2,2,3,2,1,2,3,1,1,2,2,,,,,,,,,
1,2,F,2F,0,0,1,0,1,2,1,1,0,0,0,,,,,,,,,
1,2,M,2M,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
